skillset,frequency,job_id
complex-data,3,1
ad-hoc,7,1
data-analysis,43,1
coding,1,1
software-development,15,1
project-management,30,1
cybersecurity,24,1
cloud-computing,2,1
artificial-intelligence,4,1
ai,6,1
machine-learning,15,1
database-management,2,1
web-development,1,1
mobile-app-development,0,1
ux/ui-design,0,1
graphic-design,0,1
video-production,0,1
seo/sem-marketing,0,1
digital-marketing,0,1
content-writing,0,1
editing-and-proofreading,0,1
technical-writing,4,1
blockchain-technology,0,1
devops-practices,0,1
network-architecture,0,1
data-visualization,21,1
crm-software,0,1
erp-systems,0,1
financial-modeling,0,1
accounting-software,0,1
e-commerce-management,0,1
social-media-management,0,1
email-marketing,0,1
cloud-security,0,1
quantum-computing,0,1
robotics,0,1
3d-printing,0,1
augmented-reality,1,1
virtual-reality,0,1
iot,1,1
bioinformatics,0,1
computational-thinking,0,1
statistical-analysis,2,1
cad-software,0,1
digital-photography,0,1
podcasting,0,1
data-mining,9,1
ethical-hacking,0,1
linux-system-administration,0,1
cloud-infrastructure-management,0,1
quality-assurance-testing,0,1
regulatory-compliance,0,1
technical-support,3,1
troubleshooting,8,1
time-management,8,1
reliability,3,1
professionalism,4,1
responsibility,4,1
punctuality,0,1
dedication,4,1
work-life-balance,3,1
stress-management,0,1
resilience,1,1
persistence,0,1
patience,1,1
proactivity,0,1
flexibility,9,1
adaptability,0,1
self-motivation,0,1
goal-setting,0,1
self-discipline,0,1
organization,43,1
attention-to-detail,15,1
critical-thinking,7,1
problem-solving,20,1
decision-making,22,1
creativity,5,1
innovation,13,1
strategic-planning,3,1
leadership,26,1
team-building,1,1
conflict-resolution,0,1
performance-management,0,1
budgeting,3,1
negotiation,0,1
delegation,0,1
communication,54,1
empathy,0,1
emotional-intelligence,0,1
feedback-giving,0,1
diversity-and-inclusion,0,1
change-management,1,1
risk-management,1,1
project-planning,1,1
resource-allocation,0,1
stakeholder-management,1,1
sales-strategy,0,1
marketing-strategy,0,1
product-management,1,1
operations-management,0,1
customer-service,4,1
supply-chain,11,1
business-development,1,1
entrepreneurship,0,1
active-listening,0,1
verbal-communication,10,1
written-communication,12,1
public-speaking,0,1
interpersonal-skills,8,1
collaboration,17,1
teamwork,1,1
networking,1,1
persuasion,1,1
influence,2,1
critical-observation,0,1
curiosity,2,1
open-mindedness,0,1
willingness-to-learn,0,1
cultural-awareness,0,1
compassion,0,1
trustworthiness,0,1
honesty,1,1
integrity,16,1
ethical-judgment,0,1
gratitude,0,1
positivity,0,1
confidence,2,1
humility,0,1
tolerance,0,1
diplomacy,0,1
assertiveness,0,1
mindfulness,0,1
dispute-mediation,0,1
customer-orientation,0,1
service-mindset,0,1
personal-branding,0,1
personal-finance-management,0,1
environmental-awareness,0,1
health-and-safety-awareness,0,1
digital-literacy,0,1
information-literacy,0,1
data-privacy-awareness,0,1
cybersecurity-basics,0,1
e-literacy,0,1
online-collaboration-tools,0,1
remote-work,4,1
time-zone-sensitivity,0,1
virtual-meeting-etiquette,0,1
cloud-storage-and-sharing,0,1
digital-nomadism-skills,0,1
online-research,0,1
e-learning-skills,0,1
self-paced-learning,0,1
