numb_description,job_description,state,report_year
1,"job description:  duties you will serve as the focal point for reporting program, portfolio, and project specific information to both internal and external entities and is responsible for defining the goals, objectives and linkages of the c5isr itnet portfolio as they relate to the strategic direction, goals and objectives of the uscg, dhs and the rdt&amp;e and innovation program. the position is essential to promote and execute the rdt&amp;e and innovation program, to carry out uscg missions, to provide quality solutions to customers and conduct business operations effectively and efficiently. being a coast guard civilian makes you a valuable member of the coast guard team. typical work assignments include: communicate customer needs to the research, development, test and evaluation (rdt&amp;e) program leadership from inception, execution and transitioning planning. identifies existing or potential mission related issues that can be remedied through the program projects. maintain awareness of program projects and portfolio appropriations. collect and disseminate project information and report metrics to stakeholders on project progression. coordinate across rdt&amp;e portfolios and execution pathways to ensure efficient and complimentary technology investments. review deliverables to ensure conformity with communications, sponsors, expectations, leadership and political considerations. collaborate with leadership and stakeholders in development and approval of annual portfolio projects. requirements conditions of employment u.s. citizenship is required. this position may require a one (1) year probationary period. males born after 12 31 1959 must be registered for selective service. all qualification requirements must be met by the closing date of the announcement. qualifications to qualify for the gs-14: applicants must have at least one year of specialized experience equivalent to the gs-13 level in the federal service. resume must demonstrate that you meet 4 out of the 6 specialized experience below: presenting technical information to a variety of audiences including senior leaders, industry, technical and or academic audiences in verbal and written forums. utilizing reporting tools and other resources to report project status, related issues, and critical concerns. researching mission needs and technological advances, developing portfolio and project ideations in coordination with key stakeholders, and ensuring compliance with organizational departmental processes and guidelines ensuring project scopes and deliverables reflect customer needs and planning for project transition. presenting valued analysis (e.g. trends analysis, total quality management, cost estimating, organizational analysis) and strategic planning to assess and improve program effectiveness. coordinating with stakeholders to develop transition plans, decision milestones, and facilitate project closeouts and transitions. preparing portfolio and technology related information deliverables for senior leaders, and federal agencies such as omb, gao and congress. specialized experience is experience that has equipped you with the particular ability, skill, and knowledge to successfully perform the duties of this position and is typically in or related to this line of work. national service experience (i.e., volunteer experience): experience refers to paid and unpaid experience, including volunteer work done through national service programs (e.g., peace corps, americorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. you will receive credit for all qualifying experience, including volunteer experience. the office of personnel management (opm) must authorize employment offers made to current or former political appointees. if you are currently, or have been within the last 5 years, a political schedule a, schedule, c, non-career ses or presidential appointee employee in the executive branch, you must disclose this information to the human resources office. education this position does not have a positive education requirement. if you are including education on your resume, report only attendance and or degrees from schools accredited by accrediting institutions recognized by the u.s. department of education. see required documents section for detail. foreign education: education completed in foreign colleges or universities may be used to meet federal qualification requirements if you can show that your foreign education is comparable to education received in accredited educational institutions in the united states. it is your responsibility to provide such evidence with your application. see recognition of foreign qualifications click here additional information applicants will be required to complete questions contained on the declaration for federal employment (of-306) at the time a tentative job offer is made. certain responses on the form could pose a problem with suitability for employment determinations. if you receive a conditional offer of employment for this position, you will be required to complete make updates to the of-306 and to sign and certify the accuracy of all information in your application, prior to entry on duty. false statements on any part of the application may result in withdrawal of offer of employment, dismissal after beginning work, or imprisonment. dhs uses e-verify, an internet-based system, to confirm the eligibility of all newly hired employees to work in the united states. learn more about e-verify, including your rights and responsibilities at click here recruitment incentives may be authorized. moving expenses will not be paid. all federal employees are required to have federal salary payments made by direct deposit. for veterans preference eligibility, visit veterans employment resources. veterans, peace corps vista volunteers, and persons with disabilities possess a wealth of unique talents, experiences, and competencies that can be invaluable to the dhs mission. see the required documents section of the announcement. more than 1 selection may be made from this announcement if additional identical vacancies in the same title, series, grade, and unit occur within 45 days from the date the certificate was issued. if you need a reasonable accommodation for the application and hiring process, please contact . decisions on granting reasonable accommodation will be made on a case-by-case basis. visit reasonable accommodation benefits a career with the u.s. government provides employees with a comprehensive benefits package. as a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. opens in a new windowlearn more about federal benefits. dhs offers competitive salaries and an attractive benefits package, including: health, dental, vision, life, and long-term care insurance; retirement plan; thrift savings plan [similar to a 401(k)]; flexible spending account; employee assistance program; personal leave days; disabled veterans leave; sick leave and paid federal holidays. other benefits may include: flexible work schedules; telework; voluntary tuition assistance; tuition reimbursement; transportation subsidies; voluntary credentialing; uniform allowance; health and wellness programs; and fitness centers. dhs is committed to employee development and offers a variety of employee training and development as well as mentoring program opportunities. for more information, go to the dhs careers website and select “benefits.” eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent. contact the hiring agency for more information on the specific benefits offered. how you will be evaluated you will be evaluated for this job based on how well you meet the qualifications above. we will review your résumé and supporting documentation to ensure you meet the basic qualification requirements. if you meet the minimum qualifications, you will be referred for consideration. the following competencies or knowledge, skills, and abilities are needed to perform this job: 1. customer service 2. product evaluation 3. project management 4. stakeholder management 5. research you may preview questions for this vacancy. benefits a career with the u.s. government provides employees with a comprehensive benefits package. as a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. opens in a new windowlearn more about federal benefits. dhs offers competitive salaries and an attractive benefits package, including: health, dental, vision, life, and long-term care insurance; retirement plan; thrift savings plan [similar to a 401(k)]; flexible spending account; employee assistance program; personal leave days; disabled veterans leave; sick leave and paid federal holidays. other benefits may include: flexible work schedules; telework; voluntary tuition assistance; tuition reimbursement; transportation subsidies; voluntary credentialing; uniform allowance; health and wellness programs; and fitness centers. dhs is committed to employee development and offers a variety of employee training and development as well as mentoring program opportunities. for more information, go to the dhs careers website and select “benefits.” eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent. contact the hiring agency for more information on the specific benefits offered. required documents as a new or existing federal employee, you and your family may have access to a range of benefits. your benefits depend on the type of position you have - whether you re a permanent, part-time, temporary or an intermittent employee. you may be eligible for the following benefits, however, check with your agency to make sure you re eligible under their policies. 1. your resume 2. if you are claiming special priority selection rights under the interagency career transition assistance program (ictap), submit a copy of your agency notice, most recent performance rating and most recent sf-50, notification of personnel action, noting your current position, grade level and duty location. if you have never worked for the federal government, you are not ictap eligible. to be considered eligible, you must be placed in the well-qualified category for this position. please see ictap eligibility. 3. opm must authorize employment offers for former or current political appointees. if you are currently, or have been within the last 5 years, a political schedule a, schedule c or non-career ses employee in the executive branch, you must disclose this information. submit proof of your former or current status, such as your sf-50. please see here. all documentation as outlined above must be received by the closing date of the announcement. if you are unable to submit your documents electronically, you may fax or mail the documents. a fax cover sheet will be provided to you from the system, with fax number and instructions to transmit the requested documents. the required documents will also be accepted by mail and must be received by the closing date of the announcement. the mailing address is commandant, attn office of civilian human resources (jobs), us coast guard, 2703 martin luther king jr ave se stop 7912, washington, dc 20593-7912. if you are relying on your education to meet qualification requirements: education must be accredited by an accrediting institution recognized by the u.s. department of education in order for it to be credited towards qualifications. therefore, provide only the attendance and or degrees from schools accredited by accrediting institutions recognized by the u.s. department of education. failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating. how to apply complete applications for this vacancy must be received on-line by 11:59p.m et on the closing date of the announcement. to begin your online application, click the apply online button and follow the prompts to register or sign in to usajobs, take the online questionnaire and submit the required documents to provide proof of qualifications. if you are claiming veterans preference, you will be required to submit proof. see required documents section for more detail regarding a complete application package. high self-assessment in the vacancy questions that is not supported by information in your resume and or supporting documents may impact you or eliminate you from consideration. if claiming eligibility under the vow act: the vow act requires federal agencies to treat active duty service member as veterans, disabled veterans, and preference eligibles, when they submit, at the time they apply for a federal job, a ""certification"" of active service in lieu of a dd214. in order to be considered under the vow act, the certification must specify that the service member is expected to be discharged or released from active duty under honorable conditions not later than 120 days after the date the certification is submitted with your application package for this job announcement. the certification must be on letterhead from the appropriate military branch and include the following information: military dates of service and expected discharge or release date, character of service, military rank, type of discharge, and date when terminal leave will begin. certifications must be signed by, or by direction of military members military personnel offices, unit commanders or higher headquarters. agencies are required to verify a qualifying separation from military service prior to appointment, through the dd214 or other appropriate documentation. your preference and or appointment eligibility will be verified prior to appointment. if applying on-line poses a hardship to you, the help desk listed on the announcement will provide assistance to ensure that applications are submitted on-line by the closing date. you must contact the help desk prior to the closing date of this announcement to receive assistance. hours of operation: monday through friday, 7:00 a.m. to 7:00 p.m. et, excluding federal holidays. agency contact information uscg applicant support phone  fax  email mgshelp@monster.com address united states coast guard 2703 martin luther king jr. ave se stop 7912 washington, district of columbia 20593 united states next steps if you provided an email address, you will receive an email message acknowledging the receipt of your application. usajobs no longer provides application status updates automatically. to check the status of your application, log on to your usajobs account, click on ""track this application"". note: selectee(s) must be available to report to duty within 120 calendar days of the closing date of the announcement. for more information on applying for federal employment click here. any offers of employment made pursuant to this announcement will be consistent with all applicable authorities, including presidential memoranda, executive orders, interpretive u.s. office of management and budget (omb) and u.s. office of personnel management (opm) guidance, and office of management and budget plans and policies concerning hiring. these authorities are subject to change. applying to this announcement certifies that you give permission for dhs to share your application with others in dhs for similar positions. fair and transparent the federal hiring process is set up to be fair and transparent. please read the following guidance. criminal history inquiries equal employment opportunity (eeo) policy financial suitability new employee probationary period privacy act reasonable accommodation policy selective service signature and false statements social security number request required documents 1. your resume 2. if you are claiming special priority selection rights under the interagency career transition assistance program (ictap), submit a copy of your agency notice, most recent performance rating and most recent sf-50, notification of personnel action, noting your current position, grade level and duty location. if you have never worked for the federal government, you are not ictap eligible. to be considered eligible, you must be placed in the well-qualified category for this position. please see ictap eligibility. 3. opm must authorize employment offers for former or current political appointees. if you are currently, or have been within the last 5 years, a political schedule a, schedule c or non-career ses employee in the executive branch, you must disclose this information. submit proof of your former or current status, such as your sf-50. please see here. all documentation as outlined above must be received by the closing date of the announcement. if you are unable to submit your documents electronically, you may fax or mail the documents. a fax cover sheet will be provided to you from the system, with fax number and instructions to transmit the requested documents. the required documents will also be accepted by mail and must be received by the closing date of the announcement. the mailing address is commandant, attn office of civilian human resources (jobs), us coast guard, 2703 martin luther king jr ave se stop 7912, washington, dc 20593-7912. if you are relying on your education to meet qualification requirements: education must be accredited by an accrediting institution recognized by the u.s. department of education in order for it to be credited towards qualifications. therefore, provide only the attendance and or degrees from schools accredited by accrediting institutions recognized by the u.s. department of education. failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating. help this job is open to the public u.s. citizens, nationals or those who owe allegiance to the u.s. clarification from the agency this position(s) will be filled through expedited hiring authority (eha). all applicants who meet the basic qualification requirements will be forwarded to the selecting official for further consideration. the ""rule of three"", category rating, veterans preference, and traditional rating and ranking of applicants does not apply to this vacancy. 

 ",dmv,2024
2," 

 job description:  overview: **position contingent on contract award – anticipated start date: late september, 2024. details below are subject to change based on final contract award.** come join a company that strives for extraordinary people and exceptional performance ! eagle one solutions, inc., a chenega professional services company, is looking for a project manager to support a large federal it organization. the project manager will support various engineering disciplines such as industrial, production systems, process systems, mechanical, software, and electrical engineering to ensure operational efficiency and project success. our multidisciplinary expertise ensures comprehensive coverage across various domains, enabling us to drive operational excellence and achieve project success. this is a highly visible position and will require a self-motivated, well-versed, and knowledgeable candidate to support the organization. our company offers employees the opportunity to join a team where there is a robust employee benefits program, management engagement, quality leadership, an atmosphere of teamwork, recognition for performance, and promotion opportunities. we actively strive to channel our highly engaged employee s knowledge, critical thinking, innovative solutions for our clients. responsibilities: align with client technical teams, conduct due diligence with customers and stakeholders, draft frd documents, develop process maps, and work through comment periods to publication. coordinate requirements with pmos to maintain forward momentum in achieving zta security posture, tracking the required resources, drafting and monitoring implementation plans, and supporting the resource proposal (rp). monitor lifecycle management &amp; cost drivers of more than 300 systems and more than 500 applications. monitor the performance of operational investments to focus on identifying means of maintaining or improving investment performance in terms of customer satisfaction, strategic and business results, and financial performance. assist in the development of a funds traceability methodology resulting in a roadmap for multi-year budget estimates. support investment reviews, goals, and the objectives contained in strategic and annual plans. support the development of multi-year budget projections consistent with the client s it strategic plan and it roadmap. develop time-phased projections and long-range budgets by employing forecast models, and applying commercial and government algorithms that will be vetted and compared with budget estimates derived from omb and executive department before finalization. support resource proposal (rp) generation, development, management, and tracking. assist the pmo by drafting kickoff briefing packages and working with program management teams to understand requirements, gather data, and monitor development. attend meetings to gather information and ask program specific questions that are then shared with the pmo programs. review pmr packages providing necessary feedback to the programs, provide scrutiny for risk factors, develop risk response plans, and follow the rp cycle through its annual conclusion. provide comprehensive analysis and engineering support services, collaborating closely with stakeholders. prioritize strategic planning, meticulous execution, and continuous monitoring to guarantee successful outcomes. ensure thorough planning, execution, and oversight of critical project elements to achieve optimal performance and sustainability. provide coordinated communication and messaging that incorporates thematic, strategic thought leadership utilizing communication modalities and tools. assist in the development of clearly articulated strategic priorities, objectives and key results that define the expectations, and shape prioritized messaging. occasional travel to washington, dc, as required. qualifications: bachelor s degree in business administration or similar field 5 years experience in project management. pmp certification. 2 years experience in government project management. excellent written and verbal communication skills with a commitment to high-quality output possess a public trust clearance, but should have ability to go through security clearance process if required experience with management information systems (e.g., financial, accounting, budget, purchasing, etc.). knowledge, skills and abilities: highly organized, with the ability to work efficiently and effectively with others. self-motivated and proactive, both with respect to managing workload and own professional development. people oriented, with the ability to remain objective and communicate well with a range of personalities and audiences. close attention to detail and accuracy of your work. strong written and verbal communication skills. effective communicator in a wide range of audiences and personality types. strategic-oriented, always looking for opportunities for the customer to streamline, gain efficiencies. computer skills to include but not limited to, skills in operating microsoft office software, with emphasis on word, onedrive, sharepoint, excel, power point, and visio. ability to manage large, complex spreadsheets and database tools final salary determination based on skill-set, qualifications, and approved funding. many of our jobs come with great benefits – some offerings are dependent upon the role, work schedule, or location, and may include the following: paid time off pto vacation – 5.67 hours accrued per pay period 136 hours accrued annually paid holidays - 11 california residents receive an additional 24 hours of sick leave a year health &amp; wellness medical dental vision prescription employee assistance program short- &amp; long-term disability life and ad&amp;d insurance spending account flexible spending account health savings account health reimbursement account dependent care spending account commuter benefits retirement 401k 401a voluntary benefits hospital indemnity critical illness accident insurance pet insurance legal insurance id theft protection teleworking permitted?: false estimated salary wage: usd $94,000 yr. up to usd $102,000 yr. 

 ",dmv,2024
3," 

 job description:  trustar bank is a community bank conceived to meet the banking needs of businesses and individuals in the greater metropolitan washington dc area. the organizers of the bank are experienced bankers, bank investors, and business professionals in the bank s target market area. rapid consolidation in the bank s target market has created an opportunity for a community-based commercial bank. “at trustar, our mission is to be your partner for financial success, to provide a sound investment for our shareholders, and to support our local community.” a viable market, sufficient capital, engaged leadership, and strong management are critical success factors for any financial institution. service differentiates one bank from another. as a community bank, trustar bank‘s strategy is to be a personalized alternative to larger, super-regional financial institutions that increasingly dominate the bank s primary market. our mission statement emphasizes personal service, responsiveness, and a willingness to tailor products and services to meet the needs of our customers: “our unique approach to financial services and our ‘can do attitude sets us apart from our competition. at trustar, our philosophy is to provide customized banking solutions and top-notch service that truly addresses your individual needs.” trustar bank is currently seeking an experienced project manager. the project manager is responsible for providing high quality customer service and will assist the svp of operations with special projects within the department. the project manager will follow all established policies and procedures of the bank. summary of job duties works closely with the deposit operations department to assist in all areas. works closely with the svp of deposit operations on projects assigned to assist customers, manage system flow, maintain compliance and procedures and complete operations team daily duties. may assist other departments. candidate will assist with other duties as assigned. requirements include: high school diploma or its equivalent. bachelor s degree preferred. minimum ten years banking experience including customer service, branch experience a plus . prior supervisory experience is preferred. must have a professional image. a high level of interpersonal and verbal skills to represent the bank in a positive manner in dealing with customer teller transactions. working knowledge of and experience with microsoft office applications. trustar bank has grown rapidly since it s start in 2019. with an all-star team and fast-paced environment, this is an exciting opportunity to help build the bethesda team. we also provide an outstanding benefits package to include a no deductible health care plan, a strong 401(k) with discretionary company match, lifelock premier for all employees, and a generous pto plan. this is an in-office position. we are an equal opportunity employer. 

 ",dmv,2024
4," 

 job description:  introduction this is a permanent position with full maryland state benefits . work that matters. the maryland department of housing and community development (dhcd) is a national leader in the financing of affordable housing and revitalizing communities. annually, dhcd finances approximately 2,700 units of multifamily rental housing in 40 properties, amounting to $350 million in construction and permanent financing. additionally, dhcd administers rental assistance programs and innovative initiatives designed to expand affordable housing opportunities for persons with disabilities, increase the energy efficiency and sustainability of affordable multifamily developments, and preserve rental housing. this is an opportunity to join this nationally-recognize, award-winning organization and apply your skills to this important public purpose. program excellence: housing &amp; building energy programs the housing and building energy programs achieve excellence through continuous process improvement involving everyone in a collaborative and collegial team centered environment. we are a fast paced, dynamic team committed to serving maryland and are looking for team players that share our vision of program excellence and our commitment to customer service. our division works within the department to administer a wide range of programs using various funding sources. these programs provide energy efficiency improvements that help reduce utility costs to residents, increase comfort, improve health and safety in the home, support local employment, and contribute strongly towards meeting the state s climate goals. the program portfolio consists of programs such as the us department of energy weatherization assistance program (wap), empower low income energy efficiency program (lieep), empower multifamily energy efficiency and affordable housing program (meeha), maryland energy assistance program (meap), energy efficiency homes construction loan program (netzero), and the besmart home energy loan program (besmart). grade 17 location of position 7800 harkins road lanham, md 20706 there is ample parking and our offices are in walking distance to the new carrollton marc train station position duties the project manager is a professional who coordinates and manages energy conservation projects receiving funds for the execution of energy efficiency or greenhouse gas reduction initiatives. the project manager will utilize their expertise with communication, organization, critical thinking, and other skills to move projects through the funding process. the project manager has, or will have, an understanding of building construction and assemblies, energy diagnostic and modeling methodologies, and energy conservation or greenhouse gas reduction measure recommendations. this knowledge will be used to review and approve funding requests, product specifications, payment requests, perform cost benefit analysis, and onsite construction progression inspections. on the job training is provided as well as training for building science certifications or other relevant industry education. minimum qualifications experience: seven years of experience evaluating the risk involved in granting single family, multifamily and commercial loans, government assistance programs, and or construction management. notes: 1. candidates may substitute the possession of a bachelor s degree from an accredited college or university in business administration, architecture, construction management, finance, economics, real estate, architecture or any other related field and three years of experience evaluating the risk involved in granting single family, multifamily and commercial loans, government assistance programs, and or construction management for the required experience. 2. candidates may substitute u.s. armed forces military service experience as a commissioned officer in loan specialist classification, loan specialist specialty codes in the loan specialist field of work, or as a commissioned officer in business and industry classification or business and industry specialty codes in the housing management field of work on a year-for-year basis for the required experience. desired or preferred qualifications education: bachelor s degree qualifications: experience in energy efficiency programs (meeha lieep, etc.) certifications including bpi building analyst, bpi multifamily building analyst, hers rater, certified energy manager, leed green rater certification, or other building science certifications. experience interacting with general contractors, subcontractors, project architects, or engineers. selection process please provide sufficient information on your application to document that you meet the minimum qualifications for this recruitment. unofficial transcripts, certifications or diplomas to document educational or certification qualifications are required. educational credentials from foreign countries must be evaluated by an approved education review service. this evaluation must be submitted with your application. for further information, you may call international consultants of delaware, inc.  or world education services, inc. 1- or . successful candidates will be placed on the employment (eligible) list for at least one year. eligible list may be used to fill future vacancies of the same classification. successful candidates must document eligibly to work in the u.s. upon hire. please note: the maryland department of housing and community development is not sponsoring new employees in application of the h-1b visa at this time due to budgetary constraints. all applicants must be legally authorized to work in the united states under the immigration and reform control act of 1986. federal regulations prohibit h-1b candidates from paying sponsorship fees, all sponsorship fees must be assumed by the potential employer. examination process the examination will consist of rating your education, training, and experience related to the requirements of the position. you may be required to complete a qualifications supplement or the rating may be based on your application. therefore, it is important that you provide completed and accurate information on your application. report all experience and education that is related to this position. benefits state of maryland benefits dhcd offers a flexible work schedule, telework and job-sharing options, training, advancement and career path opportunities, casual business dress on fridays, and a competitive salary. further instructions online applications are strongly preferred. however, if you wish to submit a paper application, you may mail your application and materials to: charlee kerr department of housing and community development office of human resources 7800 harkins road lanham, md 20706 all application materials must be received by the filing deadline. if you are unable to upload your transcripts into the system, please send via email to charlee.kerr@maryland.gov. please include the following in the body of the email: attn: charlee kerr your first and last name recruitment # classification (job title) of recruitment incorrect application forms, or resumes in place of the application, will not be accepted. if you are interested in these positions and cannot apply online, please fill out the paper application. for questions concerning these positions, please call . tty users: call via maryland relay we thank your veterans for their service to our country, and encourage them to apply. as an equal opportunity employer, maryland is committed to recruiting, retaining, and promoting employees who are reflective of the state s diversity. 

 ",dmv,2024
5," 

 job description:  an>&amp;nbsp;< span>< span>

 ",dmv,2024
6," 

 job description:  an>&amp;nbsp;< span>< span>

 ",dmv,2024
7," 

 job description:  objectstream is an award-winning small business dedicated to providing innovative products and services in many areas, including information technology, management consulting, and logistics, for customers including the faa, dod, and state governments. we accomplish this mission by forging long-term trusted relationships with our employees, customers, and strategic partners; building an organizational culture that promotes empowerment and accountability; assuring a talented, well-trained, and qualified workforce; continuously improving our efficiency and productivity; and being socially and environmentally responsible corporate citizens. we pride ourselves on fostering a collaborative and innovative work environment where employees are encouraged to share ideas and take ownership of their projects. we are currently seeking a talented integration engineer to join our dynamic team. we offer a competitive benefits package to our employees which includes: m d v, matching 401k, and other benefits.. job description: we are seeking a highly skilled and motivated integration engineer to join our dynamic it team. as a integration engineer at objectstream, you will play a crucial role in designing, implementing, and maintaining our infrastructure to ensure optimal performance, security, and reliability. you will collaborate with cross-functional teams to support the company s technical needs and contribute to the evolution of our architecture. location: washington, dc responsibilities: determines appropriate products or services with clients or customers to define project scope, requirements, and deliverables develops, modifies, or provides input to project plans implements project plans to meet objectives coordinates and integrates project activities manages, leads, or administers project resources monitors project activities and resources to mitigate risk implements or maintains quality assurance processes makes improvements, solves problems, or takes corrective action when problems arise gives presentations or briefings on all aspects of the project participates in phase, milestone, and final project reviews identifies project documentation requirements or procedures develops and implements product release plan uses knowledge that is acquired through formal training or extensive on-the-job experience to perform his her job works with, understands, and evaluates technical information related to the job advises others on technical issues qualifications: bachelor s degree + 10 relevant years bachelor s degree in management, business, accounting, finance, economics, or related technical discipline project management professional (pmp) or equivalent project or program management certification is required. possess excellent computer literacy with the ability to function in faa multi-system software applications to include, but not limited to, microsoft office suite, adobe, and sharepoint federal experience in a technical or managerial business in relation to functional responsibilities possess excellent customer service and problem-solving skills excellent organizational skills, strong attention to detail and demonstrated professionalism outstanding interpersonal and customer service skills strong communication skills both verbal and written highly responsive to requested needs ability to prioritize work and multi-task ability to work in a fast paced, team oriented environment ability to work independently without supervision ability to work with confidential and proprietary information using utmost discretion must be able to obtain a security clearance. 

 ",dmv,2024
8," 

 job description:  about the role: eglobaltech (egt), a tetra tech company is seeking a jr project manager to support our federal customer in washington, dc; the front office of the client s office of technology policy (otp) and will work directly with the deputy associate administrator, otp program management officer, otp division heads and other ogp offices on project management support tasks. qualified candidates should have exceptional communication and organizational skills and the ability to go through an in-depth background investigation to obtain a public trust. this exciting challenge offers excellent compensation, career growth potential, and a total rewards package that includes pto, paid holidays and corporate events, continuing education reimbursements, 401k, an employee stock purchase plan (espp) through tetra tech, and more! responsibilities: the significant function of this position is to directly support the otp front office providing project management, mailbox monitoring, strategic planning support, logistical planning and operational support in working closely with other agencies to coordinate and facilitate the government-wide implementation of technology policy, initiatives, and legislation of current and emerging technologies. tasks will include: support logistical and project management support for chief of staff (cos) working sessions support cos sprint bi-weekly planning meeting draft internal and external communications on behalf of pmo coordinate and provide logistical support in the formulation of strategy, support the development of responses to a variety of daily requests from program managers, other government agencies, congress and external parties (e.g., media, other vendors, etc.) manage trello board and track items from initiation to completion support the development of week ahead report, and bi-weekly meeting reports provide logistical and project management support for the all staff planning, prep meeting and meeting presentation provide logistical and project management support for division head planning, prep meeting and notes manage the front office mailbox provide project management support of taskers and legislative referral memorandum (lrm). provide logistical and project management support for event tracking. provide operational and planning support for large events. provide operational and logistical support for ogp and or cio council meetings required qualifications: 5+ years of relevant experience. requires public trust clearance skilled in basic operational support, process tracking, efficient communication, resource management &amp; managing work-flows. pm certification experience with program administration support experience with supporting a program management office s experience with stakeholder engagement and communications and outreach support experienced in coordinating and providing logistical support for small, medium and large meetings, briefings, workshops, working groups, integrated project teams, committees, conferences, boards, and additional operation activities. experience with microsoft office and google products applications experience with agile delivery mindset and principles proactive approach to managing tasks within a short period of time demonstrated consulting experience in a federal setting. excellent verbal and written communication skills. able to communicate effectively and confidently with end users, technologists, team members, and executive management. excellent presentation skills, and ability to develop presentations for all levels of stakeholders. ability to analyze project requirements and make appropriate recommendations. excellent attention to detail. excellent analytical skills. ability to support multiple tasks simultaneously. ability to work independently and as part of a team. desired qualifications: familiarity with government wide strategic initiatives familiarity with legislative referral memorandum (lrms) about us: eglobaltech (egt), a wholly owned subsidiary of tetra tech, provides the public sector with innovative solutions, leveraging cutting-edge tools and methodologies to meet the government s most pressing business needs. at the core of our business philosophy, technology opportunities are tightly woven with business goals to guide true transformations. egt integrates cyber, technology, and business expertise to cross-pollinate, educate, and enhance awareness to better prepare for our customer s challenges. egt s innovative advantage is the horizontal r&amp;d services of egt labs focused on high-value, repeatable solutions in artificial intelligence (ai), robotic process automation (rpa), devsecops, and cloud transformation to solve customer challenges and they surface and advance program mission. egt s cooperative community of experts makes our solutions adaptive, forward thinking, and teams able to provide end-to-end results. our highly motivated employees thrive in a culture that encourages out-of-the-box thinking, collaboration, and an environment where you can excel. for more information, please visit our website at www.eglobaltech.com pay and benefits pay and benefits are fundamental to any career decision. that s why we craft compensation packages that reflect the importance of the work we do for our customers. employment benefits include competitive compensation, health and wellness programs, income protection, paid leave and retirement. more details are available here. https: www.eglobaltech.com careers equal employment opportunity: as a condition of employment with eglobaltech, any successful job applicant will be required to successfully complete a background investigation, which may also include a pre-employment drug screen and or a credit check for positions in some areas of our business. eglobaltech is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, gender, age, status as a protected veteran, sexual orientation, gender identity, or status as a qualified individual with a disability. eglobaltech participates in the e-verify program. eeo is the law. 

 ",dmv,2024
