numb_description,job_description
1,"job description:  cybertrend s leadership has 40 years of experience in the industry, and the company continues to serve as a technology leader on many defense projects and programs. formed in 2010, cybertrend has long-standing partnerships and clients, including partners like aws and ibm, government agencies, the intelligence community, and defense contractors. we provide talented and exceptionally qualified it, architectural, system, and software engineering personnel. requires ts sci with poly clearance the software engineer develops, maintains, and enhances complex and diverse software systems (e.g., processing-intensive analytics, novel algorithm development, manipulation of extremely large data sets, real-time systems, and business management information systems) based upon documented requirements. works individually or as part of a team. reviews and tests software components for adherence to the design requirements and documents test results. resolves software problem reports. utilizes software development and software design methodologies appropriate to the development environment. provides specific input to the software components of system design to include hardware software trade-offs, software reuse, use of commercial off-the-shelf (cots) government off-the-shelf (gots) in place of new development, and requirements analysis and synthesis from system level to individual software components. seven (7) years experience as a swe, in programs and contracts of similar scope, type, and complexity is required. bachelor s degree in computer science or related discipline from an accredited college or university is required. four (4) years of additional swe experience on projects with similar software processes may be substituted for a bachelor s degree. qualifications analyze user requirements to derive software design and performance requirements design and code new software or modify existing software to add new features debug existing software and correct defects integrate existing software into new or modified systems or operating environments develop simple data queries for existing or proposed databases or data repositories provide recommendations for improving documentation and software development process standards develop or implement algorithms to meet or exceed system performance and functional standards assist with developing and executing test procedures for software components write or review software and system documentation develop software solutions by analyzing system performance standards, confer with users or system engineers; analyze systems flow, data usage and work processes; and investigate problem areas serve as team lead at the level appropriate to the software development process being used on any particular project modify existing software to correct errors, to adapt to new hardware, or to improve its performance design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design design or implement complex database or data repository interfaces queries required skills: seeking a full stack java developer focused mainly on backend support but comfortable in the following: aws java spring spring boot kubernetes linux gitlab mongodb postgres nifi pressurewave testing &amp; analytical experience benefits: generous and competitive paid time off, scaled based on time in service, plus eleven paid annual holidays. cybertrend pays 100% of the cost for the following benefits for its full-time employees: including medical (base plan), dental, vision, disability, life, eap, and more. cybertrend contributes 10% of your monthly gross salary to a sep-ira account. this retirement plan is non-contributory for the employee, has no vesting period, and is 100% owned and managed by the employee. educational assistance up to $5,250 annually for work-related acitivies upon prior approval training assistance up to $3,000 annually for work-related activities upon prior approval cybertrend provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. this policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training. 

 "
2," 

 job description:  aws cloud engineer job category: information technology time type: full time minimum clearance required to start: ts sci with polygraph employee type: regular percentage of travel required: none type of travel: none * * * caci is seeking an aws cloud engineer in the chantilly, va area. what you ll get to do: an experienced aws cloud engineer will support the implementation of a new enterprise-scale application within an aws environment. the cloud engineer will work as part of an agile team to design and implement server, network, and software configurations, monitor system performance and availability, and work collaboratively with security specialists to support the accreditation of the new architecture and application. you ll bring these qualifications: bachelor s degree or equivalent. minimum 3 years of relevant experience (multiple experience levels available). proficient in configuring and supporting aws solutions. active current ts sci clearance with a polygraph is required these qualifications would be nice to have: aws certification (e.g., solutions architect, sysops administrator). what we can offer you: we ve been named a best place to work by the washington post. our employees value the flexibility at caci that allows them to balance quality work and their personal lives. we offer competitive benefits and learning and development opportunities. we are mission-oriented and ever vigilant in aligning our solutions with the nation s highest priorities. for over 60 years, the principles of caci s unique, character-based culture have been the driving force behind our success. company overview: caci is an equal opportunity affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other protected characteristic. pay range : there are a host of factors that can influence final salary including, but not limited to, geographic location, federal government contract labor categories and contract wage rates, relevant prior work experience, specific skills and competencies, education, and certifications. our employees value the flexibility at caci that allows them to balance quality work and their personal lives. we offer competitive compensation, benefits and learning and development opportunities. our broad and competitive mix of benefits options is designed to support and protect employees and their families. at caci, you will receive comprehensive benefits such as; healthcare, wellness, financial, retirement, family support, continuing education, and time off benefits. learn more here the proposed salary range for this position is: $72,200 - $147,900 

 "
3," 

 job description:  research, analyze, design, develop, test, configure, customize, implement and support oracle applications, may focus on oracle e-business suit (ebs), oracle fusion cloud financials, or oracle revenue management modules. work cross-functionally with legal, sales, it, tax, and various business owners on policies, processes, and programs. gather and analyze client s business process to ascertain the needs in computer applications, and translate business requirements into technical specifications. analyze system requirements and existing software systems to access the impact and compatibility of new applications or features. expand or modify systems to serve new purposes or improve work flow. manage systems and integrate functions. review computer system capabilities, workflow, and schedule limitations. transform manual processes to automation of oracle fusion cloud finance systems. develop rest services for inbound, outbound integrations across various oracle modules. develop oracle forms, oracle reports and oracle workflow. prepare functional and technical design documents. build obiee dashboards to gather, store and analyze data. perform cloud implementation assessment for clients to move from legacy to cloud erp systems. use oracle pl sql to move data from one application to another compatible oracle database. participate in implementation and provide user support. educational requirements: bachelor or its foreign equivalent degree in computer science, computer engineering, information technology, electronics engineering, electronics &amp; communications engineering, or a related field. work experience requirements: 5 years of work experience in the job offered or in a related occupation as an oracle developer, oracle specialist, database developer, dba, or development manager. specific skill or other requirements: 2 years of work experience with oracle fusion cloud financials, oracle pl sql, oracle forms, oracle reports, oracle workflow, as well as building obiee dashboards and developing rest services. job location: the present position is to provide it development and support services to employer s clients. the employer has clients nationwide. even when telecommunication (work at home) applies, the worker still needs to visit clients due to various business needs; therefore, travel to unanticipated locations throughout the u.s. with unpredictable frequency, will be required. submit applications with degree diploma and transcripts to: hr@izealinc.com 

 "
4," 

 job description:  requisition number: 18766 required travel: 11 - 25% employment type: full time salaried exempt security clearance: ability to obtain level of experience: mid hi this opportunity resides with command, control, communications, computers, cyber, intelligence, surveillance and reconnaissance (c5isr) , a business group within hii s mission technologies division. from towers to processors, we design, develop, integrate and manage the sensors, systems and other assets necessary to support integrated intelligence, surveillance and reconnaissance (isr) operations, exploitation and analysis for the intelligence community, the military services, geographic and functional combatant commands and dod agencies. meet hii s mission technologies division our team of more than 7,000 professionals worldwide delivers all-domain expertise and advanced technologies in service of mission partners across the globe. mission technologies is leading the next evolution of national defense - the data evolution - by accelerating a breadth of national security solutions for government and commercial customers. our capabilities range from c5isr, ai and big data, cyber operations and synthetic training environments to fleet sustainment, environmental remediation and the largest family of unmanned underwater vehicles in every class. find the role that s right for you. apply today. we look forward to meeting you. to learn more about mission technologies, click here for a short video: https: vimeo.com 732533072 job description mission technologies, a division of hii is immediately seeking a highly motivated software engineer to join our growing team at our hanover, md location. this position will support a mission management tool called the minotaur mission processor. minotaur ingests data from various sensors on manned and unmanned surveillance aircraft to enhance an operator s ability to identify tracks from various on-board sensors, from both sea and land, that is utilized in all branches of the military. to read more about the minotaur mission processor visit: https: www.dcms.uscg.mil our-organization assistant-commandant-for-acquisitions-cg-9 newsroom lrs_081417 http: trajectorymagazine.com operationalizing-project-maven https: www.cbp.gov frontline air-and-marine-operations-minotaur responsibilities would include developing prototype solutions to unaddressed, critical military operational shortfalls through research, conceptualization, design, implementation, and evaluation as a member of an established team that has fielded numerous highly regarded capabilities. subject areas differ widely over time, but current projects focus on improving the exploitation of airborne sensor data through object tracking, multi-sensor correlation, and operational data display. possible duties: research and concept development for solutions to unaddressed, critical military operational shortfalls. system design and software implementation of proof-of-concept prototypes incorporating a variety of engineering disciplines: control theory, software development, signal video processing, pattern recognition, machine learning, artificial intelligence, high performance computing, applied mathematics, network web services, and visualization. support prototype evaluation, experimental operations at military facilities, and transitions of capabilities to government. support system integration events on various aircraft during ground and or flight tests develop software interfaces to control and collect data from sensors potential to fly on aircraft to support system integration and train operators design and implementation of graphical user interfaces to meet customers demands and needs. willing to travel between 10-20 % of the time. essential job responsibilities designs, develops, documents, tests and debugs applications software and systems that contain logical and mathematical solutions. conducts multidisciplinary research and collaborates with equipment designers and or hardware engineers in the planning, design, development, and utilization of electronic data processing systems for product and commercial software. determines computer user needs; analyzes system capabilities to resolve problems on program intent, output requirements, input data acquisition, programming techniques and controls; prepares operating instructions; designs and develops compilers and assemblers, utility programs, and operating systems. ensures software standards are met. minimum qualifications 2 years relevant experience with bachelors in related field; 0 years experience with masters in related field; or high school diploma or equivalent and 6 years relevant experience. bachelors or higher in computer science, software engineering, computer engineering, electrical engineering, mechanical engineering, engineering technology, information technology, physics, mathematics, or any related field of study 0 - 2 years of experience with software development of algorithms, computer networking and interfaces in a linux environment. willingness to go through the united states security clearance process us citizenship required willing to work in hanover, md preferred requirements highly creative and interested in novel challenges willingness to develop software with c++, java, javascript, or related languages in a linux environment strong communication skills and ability to work collaboratively in a close team environment demonstrated ability to successfully apply educational background to real-world engineering problems experience with software development or desire to build computer science software development expertise to address cutting edge challenges physical requirements adequate visual acuity and manual dexterity for meeting the requirements software engineer family. hii is more than a job - it s an opportunity to build a new future. we offer competitive benefits such as best-in-class medical, dental and vision plan choices; wellness resources; employee assistance programs; savings plan options (401(k)); financial planning tools, life insurance; employee discounts; paid holidays and paid time off; tuition reimbursement; as well as early childhood and post-secondary education scholarships. why hii we build the world s most powerful, survivable naval ships and defense technology solutions that safeguard our seas, sky, land, space and cyber. our diverse workforce includes skilled tradespeople; artificial intelligence, machine learning (ai ml) experts; engineers; technologists; scientists; logistics experts; and business administration professionals. recognized as one of america s top large company employers, we are a values and ethics driven organization that puts people s safety and well-being first. regardless of your role or where you serve, at hii, you ll find a supportive and welcoming environment, competitive benefits, and valuable educational and training programs for continual career growth at every stage of your career. together we are working to ensure a future where everyone can be free and thrive. today s challenges are bigger than ever, and the nation needs the best of us. it s why we re focused on hiring, developing and nurturing our diversity. we believe that diversity among our workforce strengthens the organization, stimulates creativity, promotes the exchange of ideas and enriches the work lives of all our employees. all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, physical or mental disability, age, or veteran status or any other basis protected by federal, state, or local law. do you need assistance? if you need a reasonable accommodation for any part of the employment process, please send an e-mail to buildyourcareer@hii-co.com and let us know the nature of your request and your contact information. reasonable accommodations are considered on a case-by-case basis. please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this email address. additionally, you may also call 1- for assistance. press #3 for hii mission technologies. 

 "
5," 

 job description:  creoal has recently become a proud subsidiary of smx, marking an exciting collaboration that enhances our collective capabilities to deliver cutting-edge digital transformation solutions. we are looking for a talented oracle epm developer to support a new program. candidates in the dc area are preferred, but work may be performed remotely for the right candidate. the oracle epm developer will: implement oracle enterprise performance management (epm), multiple modules including workforce, workforce planning, financials, financials planning, projects, projects planning design, configure, develop, and implement a robust epm system, which includes interfaces, dashboards, reports, and business rules use your strong experience with and knowledge of epm and interface and report development supporting this implementation project work as part of a cross-functional team to test the system (e.g., unit, sit, regression, uat) and provide end-user training drive continuous improvement initiatives to optimize system performance and efficiency. support multiple 2-week sprints to configure epm and develop interfaces, reports, and business rules. (agile experience preferred) required skills and experience: clearance required: none bachelor degree in business, computer science, it, finance or related field minimum of 3-5 years of experience recent and relevant experience with oracle technologies, namely epm experience implementing and or supporting (through o&amp;m services) oracle epm, multiple modules including workforce, workforce planning, financials, financials planning, projects, projects planning experience designing, configuring, developing, and implementing robust epm systems, interfaces, business rules, dashboards, and reports ability to support robust financial planning and budgeting solutions experience with end-to-end system development lifecycle including design, development, testing, training, and deployment ability to provide technical functional support, ensuring optimal system performance and stability ability to work closely with cross-functional teams to provide testing support and end-user training agile experience, especially experience with short (2-week) sprints focused on system configuration and interface, report, and business rule development excellent organizational skills strong communication and interpersonal skills proven experience working with clients to understand and meeting their system and process requirements. excellent analytical and problem-solving skills ability to work independently and collaboratively desired qualifications: master s degree in business, computer science, it, finance or related field experience with business process reengineering #cjpost #li-jj1 at smx®, we are a team of technical and domain experts dedicated to enabling your mission. from priority national security initiatives for the dod to highly assured and compliant solutions for healthcare, we understand that digital transformation is key to your future success. we share your vision for the future and strive to accelerate your impact on the world. we bring both cutting edge technology and an expansive view of what s possible to every engagement. our delivery model and unique approaches harness our deep technical and domain knowledge, providing forward-looking insights and practical solutions to power secure mission acceleration. smx is committed to hiring and retaining a diverse workforce. all qualified candidates will receive consideration for employment without regard to disability status, protected veteran status, race, color, age, religion, national origin, citizenship, marital status, sex, sexual orientation, gender identity or expression, pregnancy or genetic information. smx is an equal opportunity affirmative action employer including disability and veterans. selected applicant will be subject to a background investigation. 

 "
6," 

 job description:  create the future of e-health together with us by becoming an associate application integration engineer at compugroup medical we have the mission of building ground-breaking solutions for digital healthcare. our vision is revolutionizing how healthcare professionals produce, access, and utilize information and thus enabling them to focus on the core value of their work: patient outcomes. your contribution takes initiative and action to respond, resolve and follow up regarding customer service issues with all customers in a timely manner. interdepartmental liaisons between labdaq technical support, labdaq implementation, labdaq sales teams along with the various third-party systems. maintain integration projects as scheduled and assigned. document all work performed towards any project into sap. follow up with clients and vendors to ensure hl7 testing has been performed between vendors and by the client. be able to troubleshoot and think outside the box for potential solutions and workarounds. your qualification: excellent knowledge of computer networking and permissions. able to document customer related issues and resolutions in crm. the employee must occasionally travel in order to do software hl7 implementation at client s site. performs and coordinates complex analysis, testing and support services for assigned projects. performs and coordinates project timelines with clients and third party vendors for the purpose of hl7 implementation and support. provides complex application support and guidance to end users. able to quickly assess problems and identify resolutions. what you can expect from us: purpose: become part of an important missions. at the interface between healthcare and digitization we create the future of e-health. communities: at cgm the people and diversity are in the center of our attention. career opportunities: we are offering a variety of internal career opportunities and numerous long-term perspectives. security: we offer a secure workplace in a crisis-proof market. all-round benefits package: medical, dental and vision as well as 401k with employer matching. personal time off to promote work life balance. work environment: modern workplaces, flexible working hours, hybrid work options and much more convinced? submit your application now! please make sure to include your salary expectations as well as your earliest possible hire date. we create the future of e-health. become part of a significant mission. 

 "
7," 

 job description:  cybertrend s leadership has 40 years of experience in the industry, and the company continues to serve as a technology leader on many defense projects and programs. formed in 2010, cybertrend has long-standing partnerships and clients, including partners like aws and ibm, government agencies, the intelligence community, and defense contractors. we provide talented and exceptionally qualified it, architectural, system, and software engineering personnel. requires ts sci with poly clearance the cloud engineer will contribute to the customers efforts by preparing existing and future products to better utilize cloud technologies. the cloud engineer will contribute to aws buildout to begin in the future. provide cloud software development engineering services to include requirements analysis, software development, installation, integration, evaluation, enhancement, maintenance, testing, and problem diagnosis resolution. work on a software development program proving software development engineering strategies for environments using hadoop distributed file system (hdfs), map reduce, and other related cloud technologies. provide set-up, configuration, and software installation for development, test, and production systems. interface directly with development team as well as system end users. review and test infrastructure components for adherence to the design requirements and documents test results. resolves reported system issues. utilizes infrastructure engineering and research design methodologies appropriate to the development test production environments. provides specific input to the component system design to include hardware software trade-offs, system reuses, use of commercial off-the-shelf (cots) government off-the-shelf (gots), and requirements analysis and synthesis from system level to individual systems components with particular emphasis on complex networking topics. should be familiar with agile processes and structures and able to work on a software development team. required skills six (6) years of experience in software development engineering in programs and contracts of similar scope, type, and complexity. four (4) years of experience in software development on systems utilizing cloud-related technologies. bachelor s degree from an accredited college or university in computer science or related discipline. four (4) years of additional software development experience may be substituted for a bachelor s degree. perform requirements analysis, software development, installation, integration, evaluation, testing, and problem diagnosis resolution modify software and algorithms designed for traditional environments to operate in cloud environments provide support to platforms and services based on amazon web services (aws) or other commercial cloud hosting environments support the transition of operational systems and applications from traditional platforms to cloud environments support cloud-related data management tools and opensource (nosql) products such as hbase, cloudbase acumulo, and big table convert existing algorithms or develop new algorithms to utilize the map reduce programming model and technologies such as hadoop, hive, and pig support operational systems utilizing the hadoop disributed file system (hdfs) support the deployment of operational systems and applications in a cloud environment conduct scalability assessments of cloud-related algorithms, applications, and systems to identify performance bottlenecks and areas for improvement benefits: generous and competitive paid time off, scaled based on time in service, plus eleven paid annual holidays. cybertrend pays 100% of the cost for the following benefits for its full-time employees: including medical (base plan), dental, vision, disability, life, eap, and more. cybertrend contributes 10% of your monthly gross salary to a sep-ira account. this retirement plan is non-contributory for the employee, has no vesting period, and is 100% owned and managed by the employee. educational assistance up to $5,250 annually for work-related acitivies upon prior approval training assistance up to $3,000 annually for work-related activities upon prior approval cybertrend provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. this policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training. 

 "
8," 

 job description:  job details enlighten, honored as a top workplace from the baltimore sun, is a leader in big data solution development and deployment, with expertise in cloud-based services, software and systems engineering, cyber capabilities, and data science. enlighten provides continued innovation and proactivity in meeting our customers greatest challenges. we recognize that the most effective environment for your projects doesn t always look the same. our hybrid work approach ensures that you can make lasting relationships with your team and collaborate in-person to get the job done—while having the flexibility to be working from home when needed to achieve focused results. why enlighten? at enlighten, our team s unwavering work ethic, top talent and celebration of innovative ideas have helped us thrive. we know that our employees are essential to our company s success, so we seek to take care of you as much as you take care of us. here are a few highlights of our benefits package: 100% paid employee premium for healthcare, vision and dental plans. 10% 401k benefit. generous pto + 10 paid holidays. education training allowances. job description enlighten is looking for a senior software integration engineer responsible for architecture design and integration supporting cots gots software in a system of systems environment. candidates must have experience in cloud-based architectures (including aws) and kubernetes (k8s), and strong programming skills. work is hybrid out of our columbia, md office, with the possibility of visiting the customer site in washington, dc. #mid-senior level #li-ds1 essential job responsibilities the ideal candidate is a strong systems integrator with an eye for opportunity to enhance, optimize, or increase robustness of an existing code base. will significantly contribute to the development of custom software components and integration of open-source code to address complex data analysis problems through the use of cutting edge big data and data fabric technologies. will be expected to work autonomously designing, implementing, and integrating capabilities while working toward broader strategic goals set by program leadership. will be part of an agile software development lifecycle where prototypes rapidly lead to operational deployments. minimum qualifications security clearance: a current u.s. government security clearance is not required, but could be processed for one; u.s. citizenship required. 9+ years of experience in software engineering (java preferred) with bachelors in related field; 7 years relevant experience with masters in related field; or high school diploma or equivalent and 13 years relevant experience. must have experience in aws cloud infrastructure. must have experience with kubernetes (or vendor flavor of kubernetes). must have demonstrated experience and knowledge for integrating cots gots software capabilities have a solid understanding of linux systems, hosts, networks, security, applications. excellent oral and written communication skills. understanding of agile software development methodologies and use of standard software development tool suites. (e.g., jira, confluence, github, gitlab, etc.) experience with ci cd pipelines (e.g. gitlab-ci, github-actions, etc.) must be able to work hybrid out of our columbia, md office with the possibility of visiting the customer site in washington, dc. preferred requirements prior experience or familiarity with big data systems systems experience with infrastructure management software (e.g. terraform, helm, ansible) we have many more additional great benefits perks that you can find on our website at www.eitccorp.com [eitccorp.com]. enlighten, an hii company, is an equal opportunity veterans and disabled employer. u.s. citizenship may be required for certain positions. hii is committed to cultivating an inclusive company culture to promote collaboration and enhance creativity by hiring a diverse work force. job snapshot employee type full-time location columbia, md (hybrid) job type information technology, engineering date posted 04 23 2024 job id  

 "
9," 

 job description:  job descriptionskill: python developer with strong tableau experienced in coding, scripting, and automating with languages including python and shell scripting experience for automation of routine operations and tasks within the enterprise environment. strong python programming skills. work experience of ide (any) pycharm, visual source code. experience with python flask or any other ui frameworks. prior experience in creating tableau dashboards related to analytics is a major plus. proficiency in building visualizations using tableau is required. strong experience in sql is required, including writing complex queries, sub queries etc. has experience building, solutioning, developing and releasing cloud-centric solutions in multi-cloud tenant environments (aws, azure, google). has experience working with cross-functional teams to deliver features and products; for delivery of capabilities to large user populations. has experience working with partners and teammates to solidify solution design, contribute to design working sessions, and outline solution path for new capability development. possesses eagerness to explore new technologies to innovate, solve problems, perform proof-of-concepts, &amp; conduct exploratory research. experience with node.js is preferred. job type: full-time pay: $100,000 - $120,000 per year benefits: 401(k) dental insurance health insurance paid time off vision insurance compensation package: bonus opportunities yearly pay experience level: 10 years 11+ years 8 years 9 years schedule: 8 hour shift monday to friday experience: informatica: 7 years (required) python: 8 years (required) data warehouse: 6 years (required) work location: on the road 

 "
10," 

 job description:  maximize your potential with intelligenesis! intelligenesis llc has supported department of defense and intelligence community customers since 2007 by providing next generation capabilities for: offensive &amp; defensive cyber services, national security cyber training, data science &amp; decision-making analytics, intelligence analysis, and intelligence solutions engineering. intelligenesis offers an extremely competitive and generous benefits package that provides employees with both professional and personal satisfaction and growth while keeping focus on supporting the mission. additionally, our employees enjoy a company culture that emphasizes the importance of family and work life balance. our benefits include: medical, dental and vision insurance, 25 days of pto with the option to purchase up to an additional 5 days, 12 paid holidays, up to 10% 401k match, annual individual technology budget, unlimited education training reimbursements, and much more! we are seeking a software engineer 0 to develop, maintain, and enhance complex and diverse software systems (e.g., processing-intensive analytics, novel algorithm development, manipulation of extremely large data sets, real-time systems, and business management information systems) based upon documented requirements. works individually or as part of a team. reviews and tests software components for adherence to the design requirements and documents test results. resolves software problem reports. utilizes software development and software design methodologies appropriate to the development environment. provides specific input to the software components of system design to include hardware software trade-offs, software reuse, use of commercial off-the-shelf (cots) government off-the-shelf (gots) in place of new development, and requirements analysis and synthesis from system level to individual software components. required skills: must be us citizen ts sci clearance with polygraph required no demonstrated experience is required. bachelors degree in computer science or related discipline from an accredited college or university is required; four (4) years of swe experience on projects with similar software processes may be substituted for a bachelors degree. responsibilities: analyze user requirements to derive software design and performance requirements debug existing software and correct defects provide recommendations for improving documentation and software development process standards design and code new software or modify existing software to add new features integrate existing software into new or modified systems or operating environments develop simple data queries for existing or proposed databases or data repositories intelligenesis, llc is an eoe m f d v 

 "
